iter	Passed	Remaining
0	202	202366
1	205	102456
2	208	69158
3	210	52444
4	213	42403
5	217	36056
6	223	31710
7	226	28037
8	229	25252
9	233	23131
10	236	21283
11	239	19725
12	242	18391
13	244	17237
14	254	16685
15	257	15821
16	260	15043
17	263	14354
18	267	13821
19	270	13258
20	273	12755
21	276	12277
22	278	11838
23	284	11558
24	286	11185
25	289	10843
26	291	10520
27	301	10464
28	306	10250
29	313	10124
30	316	9882
31	318	9640
32	321	9414
33	324	9208
34	331	9132
35	335	8972
36	342	8923
37	346	8763
38	348	8595
39	351	8433
40	359	8411
41	370	8450
42	377	8411
43	388	8431
44	391	8305
45	394	8176
46	396	8049
47	400	7936
48	402	7816
49	405	7708
50	408	7601
51	413	7536
52	416	7440
53	419	7349
54	427	7340
55	431	7275
56	436	7220
57	439	7143
58	443	7079
59	446	6996
60	449	6913
61	451	6831
62	457	6797
63	459	6717
64	464	6683
65	473	6706
66	477	6646
67	480	6587
68	483	6523
69	489	6497
70	491	6435
71	495	6386
72	498	6328
73	504	6316
74	509	6283
75	512	6229
76	514	6168
77	518	6123
78	520	6065
79	522	6011
80	525	5958
81	527	5903
82	531	5871
83	534	5824
84	536	5774
85	538	5724
86	540	5676
87	546	5660
88	548	5618
89	551	5577
90	554	5534
91	557	5499
92	562	5485
93	564	5444
94	567	5402
95	569	5361
96	571	5322
97	576	5310
98	580	5280
99	582	5241
100	584	5202
101	586	5167
102	591	5153
103	594	5123
104	597	5094
105	600	5060
106	603	5035
107	606	5010
108	609	4983
109	612	4953
110	614	4923
111	620	4919
112	624	4904
113	628	4887
114	631	4859
115	634	4833
116	636	4804
117	639	4781
118	642	4755
119	647	4749
120	650	4723
121	651	4691
122	654	4668
123	657	4644
124	662	4638
125	665	4616
126	667	4589
127	669	4563
128	672	4538
129	674	4513
130	679	4505
131	681	4482
132	684	4459
133	686	4435
134	688	4412
135	693	4405
136	695	4383
137	698	4361
138	700	4339
139	702	4317
140	706	4301
141	708	4279
142	711	4262
143	713	4242
144	715	4220
145	718	4200
146	722	4193
147	725	4176
148	728	4160
149	731	4143
150	733	4126
151	738	4120
152	748	4142
153	760	4176
154	763	4161
155	771	4175
156	774	4159
157	777	4143
158	780	4127
159	787	4133
160	789	4114
161	792	4099
162	795	4083
163	801	4084
164	804	4073
165	807	4056
166	810	4044
167	817	4050
168	821	4039
169	824	4027
170	830	4027
171	834	4018
172	838	4007
173	844	4011
174	849	4006
175	853	3994
176	856	3982
177	861	3978
178	864	3967
179	868	3956
180	871	3942
181	877	3943
182	879	3928
183	882	3913
184	885	3899
185	887	3885
186	895	3895
187	899	3886
188	903	3875
189	909	3875
190	911	3861
191	914	3847
192	916	3833
193	923	3835
194	927	3827
195	934	3832
196	943	3844
197	946	3834
198	952	3835
199	957	3831
200	961	3820
201	963	3807
202	969	3806
203	972	3794
204	975	3782
205	977	3769
206	980	3755
207	986	3756
208	990	3747
209	994	3739
210	1000	3742
211	1004	3731
212	1007	3722
213	1010	3711
214	1018	3718
215	1021	3706
216	1023	3694
217	1028	3689
218	1032	3681
219	1035	3670
220	1038	3659
221	1044	3661
222	1047	3650
223	1050	3638
224	1053	3627
225	1056	3619
226	1061	3614
227	1064	3603
228	1067	3592
229	1069	3581
230	1074	3578
231	1077	3566
232	1079	3554
233	1082	3543
234	1085	3534
235	1091	3534
236	1095	3525
237	1099	3519
238	1105	3520
239	1108	3509
240	1111	3501
241	1114	3490
242	1116	3479
243	1120	3472
244	1124	3464
245	1127	3454
246	1129	3443
247	1134	3441
248	1137	3430
249	1141	3424
250	1144	3415
251	1151	3416
252	1154	3409
253	1157	3398
254	1159	3387
255	1161	3376
256	1165	3370
257	1168	3359
258	1170	3348
259	1172	3337
260	1174	3326
261	1179	3322
262	1182	3313
263	1185	3304
264	1187	3293
265	1190	3284
266	1196	3284
267	1198	3273
268	1200	3263
269	1203	3253
270	1205	3242
271	1211	3242
272	1214	3233
273	1216	3223
274	1219	3214
275	1224	3211
276	1227	3204
277	1230	3194
278	1232	3184
279	1234	3174
280	1239	3172
281	1242	3163
282	1245	3155
283	1247	3146
284	1250	3136
285	1255	3133
286	1257	3124
287	1260	3115
288	1262	3106
289	1264	3097
290	1271	3097
291	1273	3088
292	1276	3079
293	1278	3070
294	1282	3064
295	1286	3059
296	1289	3051
297	1291	3043
298	1294	3034
299	1299	3031
300	1301	3023
301	1304	3014
302	1307	3007
303	1310	3000
304	1313	2994
305	1317	2987
306	1320	2979
307	1322	2972
308	1328	2971
309	1331	2963
310	1333	2954
311	1336	2947
312	1340	2943
313	1343	2935
314	1346	2927
315	1348	2919
316	1351	2911
317	1357	2912
318	1360	2905
319	1364	2899
320	1367	2891
321	1374	2893
322	1378	2888
323	1380	2880
324	1383	2873
325	1389	2871
326	1395	2871
327	1399	2867
328	1408	2872
329	1411	2866
330	1417	2865
331	1421	2859
332	1424	2852
333	1428	2847
334	1435	2850
335	1438	2842
336	1444	2841
337	1451	2843
338	1455	2838
339	1462	2838
340	1465	2831
341	1468	2825
342	1471	2818
343	1476	2816
344	1482	2815
345	1487	2811
346	1495	2815
347	1500	2811
348	1504	2805
349	1512	2808
350	1515	2801
351	1519	2796
352	1552	2845
353	1560	2847
354	1563	2840
355	1567	2836
356	1575	2838
357	1579	2832
358	1583	2827
359	1591	2828
360	1594	2822
361	1597	2815
362	1600	2808
363	1605	2805
364	1607	2797
365	1610	2789
366	1612	2781
367	1620	2782
368	1623	2775
369	1625	2768
370	1628	2760
371	1635	2760
372	1639	2755
373	1642	2748
374	1645	2741
375	1652	2742
376	1654	2734
377	1657	2726
378	1659	2719
379	1666	2719
380	1669	2711
381	1671	2704
382	1674	2696
383	1680	2696
384	1686	2694
385	1689	2687
386	1696	2687
387	1701	2683
388	1704	2677
389	1712	2678
390	1716	2673
391	1719	2666
392	1721	2659
393	1731	2663
394	1734	2656
395	1742	2658
396	1746	2653
397	1749	2646
398	1752	2639
399	1761	2642
400	1765	2636
401	1768	2630
402	1777	2633
403	1780	2626
404	1783	2619
405	1792	2622
406	1795	2616
407	1805	2619
408	1807	2612
409	1812	2608
410	1821	2610
411	1826	2606
412	1837	2611
413	1840	2605
414	1843	2598
415	1845	2591
416	1854	2593
417	1859	2588
418	1866	2588
419	1870	2583
420	1873	2577
421	1877	2571
422	1885	2571
423	1887	2564
424	1890	2557
425	1892	2550
426	1899	2549
427	1903	2544
428	1907	2538
429	1914	2537
430	1917	2530
431	1919	2523
432	1921	2516
433	1931	2518
434	1934	2512
435	1937	2506
436	1946	2507
437	1948	2500
438	1951	2493
439	1953	2486
440	1960	2485
441	1963	2478
442	1965	2471
443	1967	2464
444	1972	2460
